actual,predicted
major_crack,major_crack
peeling,peeling
peeling,peeling
minor_crack,minor_crack
algae,algae
stain,stain
peeling,peeling
minor_crack,minor_crack
algae,algae
major_crack,major_crack
plain,plain
minor_crack,minor_crack
plain,plain
minor_crack,minor_crack
major_crack,major_crack
plain,plain
peeling,peeling
minor_crack,minor_crack
plain,plain
plain,plain
spalling,spalling
minor_crack,minor_crack
minor_crack,minor_crack
stain,stain
major_crack,major_crack
peeling,peeling
plain,plain
plain,plain
stain,stain
plain,plain
minor_crack,minor_crack
stain,minor_crack
plain,plain
major_crack,major_crack
major_crack,major_crack
spalling,spalling
major_crack,major_crack
peeling,peeling
plain,plain
spalling,spalling
algae,algae
plain,plain
spalling,spalling
stain,stain
spalling,spalling
major_crack,algae
plain,plain
peeling,peeling
minor_crack,minor_crack
algae,algae
peeling,peeling
algae,algae
plain,plain
major_crack,major_crack
stain,peeling
spalling,spalling
plain,plain
algae,spalling
stain,stain
minor_crack,minor_crack
stain,stain
plain,plain
major_crack,major_crack
algae,algae
plain,plain
spalling,spalling
major_crack,major_crack
stain,stain
major_crack,major_crack
peeling,peeling
minor_crack,minor_crack
peeling,peeling
stain,stain
spalling,spalling
plain,plain
algae,algae
minor_crack,major_crack
stain,stain
major_crack,major_crack
major_crack,major_crack
stain,minor_crack
peeling,peeling
major_crack,major_crack
peeling,minor_crack
stain,stain
peeling,peeling
stain,stain
major_crack,major_crack
stain,stain
peeling,major_crack
algae,algae
minor_crack,minor_crack
peeling,peeling
peeling,stain
peeling,peeling
algae,algae
spalling,spalling
peeling,peeling
minor_crack,minor_crack
algae,algae
peeling,peeling
minor_crack,minor_crack
plain,plain
minor_crack,minor_crack
major_crack,major_crack
minor_crack,minor_crack
plain,plain
stain,stain
minor_crack,minor_crack
stain,stain
spalling,spalling
major_crack,major_crack
spalling,spalling
peeling,peeling
major_crack,major_crack
peeling,major_crack
plain,plain
spalling,stain
minor_crack,minor_crack
minor_crack,minor_crack
algae,algae
stain,stain
plain,plain
stain,stain
peeling,peeling
peeling,peeling
plain,stain
minor_crack,minor_crack
major_crack,minor_crack
peeling,peeling
spalling,spalling
minor_crack,minor_crack
major_crack,major_crack
algae,algae
major_crack,major_crack
peeling,peeling
major_crack,major_crack
minor_crack,minor_crack
algae,algae
plain,plain
spalling,spalling
peeling,peeling
plain,plain
algae,algae
algae,algae
plain,plain
algae,algae
peeling,peeling
minor_crack,minor_crack
spalling,spalling
minor_crack,minor_crack
peeling,peeling
plain,plain
algae,algae
plain,plain
plain,plain
algae,algae
plain,plain
algae,spalling
algae,algae
peeling,peeling
plain,plain
algae,spalling
minor_crack,major_crack
major_crack,major_crack
minor_crack,minor_crack
major_crack,major_crack
peeling,minor_crack
plain,plain
peeling,peeling
algae,algae
stain,stain
minor_crack,minor_crack
spalling,stain
stain,stain
major_crack,major_crack
spalling,spalling
algae,algae
stain,stain
peeling,peeling
plain,plain
minor_crack,minor_crack
peeling,spalling
spalling,spalling
minor_crack,minor_crack
algae,algae
algae,peeling
algae,algae
spalling,spalling
minor_crack,minor_crack
stain,stain
stain,stain
spalling,spalling
algae,algae
stain,stain
peeling,peeling
major_crack,major_crack
stain,stain
stain,stain
peeling,minor_crack
stain,stain
stain,stain
major_crack,major_crack
algae,algae
major_crack,major_crack
plain,plain
major_crack,major_crack
peeling,peeling
peeling,minor_crack
minor_crack,minor_crack
stain,stain
minor_crack,minor_crack
algae,algae
algae,algae
stain,stain
plain,plain
peeling,peeling
plain,plain
major_crack,major_crack
plain,plain
stain,stain
stain,stain
algae,algae
minor_crack,minor_crack
stain,stain
spalling,algae
major_crack,minor_crack
stain,stain
plain,plain
stain,stain
spalling,spalling
stain,stain
major_crack,major_crack
major_crack,major_crack
algae,algae
algae,algae
major_crack,major_crack
minor_crack,minor_crack
stain,spalling
plain,plain
peeling,peeling
major_crack,major_crack
stain,spalling
peeling,peeling
stain,stain
spalling,spalling
peeling,stain
spalling,stain
major_crack,major_crack
algae,algae
spalling,spalling
major_crack,major_crack
stain,stain
major_crack,major_crack
plain,plain
spalling,peeling
spalling,spalling
peeling,peeling
major_crack,major_crack
stain,stain
minor_crack,minor_crack
algae,algae
plain,plain
stain,stain
major_crack,major_crack
stain,algae
algae,algae
minor_crack,minor_crack
peeling,peeling
algae,algae
spalling,spalling
plain,plain
stain,plain
plain,plain
spalling,spalling
major_crack,major_crack
algae,algae
peeling,peeling
algae,algae
algae,minor_crack
algae,algae
stain,stain
peeling,peeling
algae,algae
algae,algae
stain,peeling
stain,peeling
peeling,stain
spalling,spalling
peeling,peeling
algae,algae
minor_crack,minor_crack
minor_crack,minor_crack
major_crack,major_crack
major_crack,major_crack
minor_crack,minor_crack
plain,plain
minor_crack,minor_crack
major_crack,major_crack
minor_crack,minor_crack
major_crack,major_crack
plain,plain
spalling,peeling
stain,stain
peeling,peeling
