actual,predicted
spalling,spalling
algae,algae
stain,stain
minor_crack,minor_crack
spalling,spalling
algae,algae
peeling,peeling
major_crack,minor_crack
major_crack,major_crack
spalling,spalling
major_crack,major_crack
stain,stain
stain,stain
peeling,stain
stain,stain
algae,algae
major_crack,major_crack
plain,plain
minor_crack,minor_crack
plain,plain
algae,stain
spalling,algae
spalling,spalling
spalling,minor_crack
algae,algae
plain,plain
peeling,spalling
spalling,spalling
peeling,algae
plain,plain
major_crack,stain
stain,spalling
minor_crack,minor_crack
plain,plain
minor_crack,minor_crack
major_crack,major_crack
stain,stain
minor_crack,minor_crack
spalling,spalling
stain,stain
plain,plain
major_crack,minor_crack
major_crack,major_crack
peeling,peeling
plain,plain
algae,algae
stain,stain
major_crack,minor_crack
algae,algae
peeling,peeling
major_crack,major_crack
peeling,peeling
plain,plain
major_crack,major_crack
major_crack,major_crack
plain,plain
algae,algae
spalling,spalling
stain,stain
algae,algae
peeling,peeling
plain,plain
spalling,spalling
minor_crack,minor_crack
stain,stain
spalling,spalling
minor_crack,minor_crack
peeling,peeling
peeling,peeling
stain,stain
plain,plain
plain,plain
algae,algae
minor_crack,minor_crack
stain,stain
minor_crack,minor_crack
major_crack,major_crack
algae,algae
minor_crack,minor_crack
plain,plain
spalling,spalling
spalling,spalling
spalling,stain
minor_crack,minor_crack
algae,algae
major_crack,major_crack
major_crack,minor_crack
algae,algae
spalling,spalling
major_crack,major_crack
minor_crack,minor_crack
algae,algae
major_crack,major_crack
major_crack,major_crack
major_crack,major_crack
minor_crack,minor_crack
major_crack,major_crack
spalling,spalling
plain,plain
algae,algae
peeling,peeling
spalling,spalling
spalling,peeling
major_crack,minor_crack
stain,stain
stain,stain
plain,plain
minor_crack,minor_crack
stain,stain
minor_crack,minor_crack
algae,algae
minor_crack,minor_crack
minor_crack,plain
algae,algae
stain,stain
algae,minor_crack
minor_crack,minor_crack
minor_crack,minor_crack
minor_crack,minor_crack
peeling,stain
plain,plain
spalling,spalling
plain,plain
peeling,peeling
peeling,spalling
spalling,spalling
plain,plain
peeling,peeling
peeling,plain
stain,major_crack
minor_crack,minor_crack
minor_crack,minor_crack
peeling,peeling
major_crack,major_crack
minor_crack,minor_crack
plain,plain
algae,algae
minor_crack,minor_crack
algae,algae
plain,plain
major_crack,major_crack
plain,plain
plain,plain
stain,stain
major_crack,major_crack
algae,algae
algae,algae
peeling,peeling
minor_crack,minor_crack
peeling,minor_crack
algae,algae
spalling,spalling
minor_crack,minor_crack
minor_crack,minor_crack
major_crack,major_crack
peeling,stain
stain,stain
stain,stain
plain,plain
major_crack,major_crack
major_crack,major_crack
major_crack,major_crack
plain,plain
peeling,peeling
major_crack,major_crack
plain,plain
peeling,peeling
stain,stain
spalling,spalling
major_crack,minor_crack
minor_crack,minor_crack
stain,stain
major_crack,major_crack
algae,algae
minor_crack,minor_crack
minor_crack,minor_crack
stain,stain
spalling,spalling
stain,stain
stain,stain
peeling,peeling
minor_crack,plain
plain,plain
algae,algae
peeling,peeling
plain,plain
spalling,plain
major_crack,major_crack
stain,stain
stain,stain
algae,algae
minor_crack,minor_crack
spalling,spalling
major_crack,major_crack
major_crack,major_crack
major_crack,major_crack
spalling,stain
plain,plain
spalling,spalling
stain,stain
plain,plain
minor_crack,major_crack
peeling,major_crack
algae,stain
algae,algae
algae,algae
minor_crack,minor_crack
spalling,spalling
minor_crack,minor_crack
spalling,major_crack
algae,algae
plain,plain
stain,stain
stain,stain
peeling,major_crack
plain,plain
plain,spalling
stain,spalling
algae,algae
major_crack,major_crack
minor_crack,minor_crack
stain,stain
minor_crack,minor_crack
stain,stain
plain,plain
minor_crack,minor_crack
algae,algae
major_crack,major_crack
major_crack,major_crack
plain,plain
minor_crack,major_crack
stain,stain
peeling,spalling
spalling,stain
peeling,stain
stain,stain
spalling,spalling
algae,algae
spalling,stain
major_crack,major_crack
algae,algae
major_crack,major_crack
stain,stain
minor_crack,minor_crack
stain,stain
plain,plain
peeling,peeling
algae,algae
plain,plain
algae,algae
peeling,peeling
minor_crack,minor_crack
major_crack,major_crack
major_crack,major_crack
plain,plain
plain,plain
plain,plain
major_crack,plain
stain,plain
spalling,spalling
stain,algae
peeling,spalling
algae,algae
spalling,stain
peeling,peeling
major_crack,major_crack
minor_crack,minor_crack
minor_crack,minor_crack
spalling,spalling
plain,plain
spalling,spalling
algae,algae
algae,algae
minor_crack,minor_crack
major_crack,minor_crack
minor_crack,minor_crack
minor_crack,minor_crack
algae,algae
stain,stain
peeling,peeling
minor_crack,minor_crack
plain,plain
minor_crack,minor_crack
peeling,stain
algae,algae
major_crack,stain
major_crack,major_crack
minor_crack,minor_crack
plain,plain
spalling,spalling
algae,algae
peeling,peeling
algae,algae
algae,algae
algae,spalling
plain,plain
peeling,peeling
algae,algae
major_crack,spalling
major_crack,major_crack
peeling,stain
algae,algae
stain,stain
algae,algae
major_crack,major_crack
plain,plain
minor_crack,minor_crack
peeling,peeling
minor_crack,minor_crack
major_crack,major_crack
algae,algae
stain,plain
major_crack,major_crack
peeling,peeling
algae,stain
algae,peeling
minor_crack,minor_crack
algae,peeling
major_crack,major_crack
plain,plain
plain,plain
major_crack,major_crack
spalling,stain
major_crack,major_crack
algae,algae
stain,stain
plain,plain
stain,plain
plain,plain
plain,plain
peeling,peeling
major_crack,major_crack
minor_crack,minor_crack
algae,algae
major_crack,major_crack
minor_crack,minor_crack
algae,algae
peeling,peeling
major_crack,major_crack
stain,stain
spalling,spalling
peeling,peeling
plain,plain
algae,algae
major_crack,major_crack
peeling,peeling
algae,algae
spalling,minor_crack
spalling,spalling
peeling,peeling
plain,plain
major_crack,major_crack
plain,plain
minor_crack,minor_crack
plain,plain
minor_crack,minor_crack
minor_crack,minor_crack
algae,spalling
major_crack,minor_crack
minor_crack,minor_crack
spalling,spalling
algae,algae
stain,stain
major_crack,major_crack
major_crack,major_crack
stain,stain
major_crack,major_crack
stain,stain
plain,plain
algae,algae
peeling,peeling
plain,plain
stain,stain
major_crack,minor_crack
major_crack,major_crack
stain,minor_crack
stain,minor_crack
plain,plain
algae,algae
stain,stain
plain,plain
algae,algae
spalling,spalling
stain,stain
major_crack,major_crack
algae,stain
spalling,spalling
peeling,peeling
minor_crack,minor_crack
major_crack,major_crack
stain,stain
minor_crack,minor_crack
stain,stain
stain,stain
algae,algae
algae,spalling
spalling,spalling
algae,algae
stain,stain
minor_crack,minor_crack
stain,stain
major_crack,major_crack
peeling,stain
major_crack,major_crack
peeling,peeling
major_crack,minor_crack
spalling,spalling
stain,stain
minor_crack,minor_crack
spalling,spalling
plain,plain
minor_crack,minor_crack
minor_crack,minor_crack
minor_crack,minor_crack
peeling,major_crack
stain,stain
plain,plain
minor_crack,minor_crack
minor_crack,minor_crack
stain,stain
major_crack,major_crack
algae,stain
major_crack,major_crack
spalling,stain
algae,algae
spalling,spalling
plain,plain
plain,plain
major_crack,major_crack
plain,plain
plain,plain
minor_crack,minor_crack
plain,plain
major_crack,minor_crack
spalling,spalling
minor_crack,minor_crack
minor_crack,minor_crack
spalling,spalling
algae,algae
peeling,peeling
peeling,peeling
major_crack,minor_crack
stain,stain
minor_crack,minor_crack
stain,stain
algae,algae
major_crack,major_crack
algae,major_crack
peeling,stain
plain,plain
major_crack,major_crack
plain,plain
spalling,spalling
minor_crack,minor_crack
minor_crack,minor_crack
spalling,spalling
major_crack,minor_crack
major_crack,spalling
peeling,peeling
minor_crack,minor_crack
plain,plain
peeling,peeling
stain,spalling
major_crack,major_crack
minor_crack,minor_crack
peeling,peeling
plain,plain
major_crack,major_crack
plain,plain
peeling,minor_crack
plain,plain
minor_crack,minor_crack
minor_crack,minor_crack
peeling,peeling
spalling,peeling
spalling,algae
algae,algae
minor_crack,minor_crack
algae,algae
algae,algae
spalling,spalling
algae,algae
stain,stain
minor_crack,major_crack
peeling,peeling
plain,plain
algae,algae
major_crack,major_crack
stain,major_crack
spalling,spalling
major_crack,major_crack
peeling,peeling
spalling,spalling
peeling,peeling
plain,plain
spalling,algae
algae,algae
algae,algae
spalling,spalling
peeling,peeling
spalling,major_crack
spalling,spalling
minor_crack,minor_crack
plain,plain
plain,plain
spalling,stain
algae,algae
algae,algae
minor_crack,minor_crack
algae,algae
plain,stain
plain,major_crack
algae,algae
stain,peeling
major_crack,major_crack
spalling,spalling
stain,stain
algae,algae
major_crack,major_crack
peeling,peeling
algae,algae
minor_crack,minor_crack
major_crack,major_crack
algae,algae
plain,plain
stain,stain
spalling,spalling
stain,stain
spalling,algae
minor_crack,minor_crack
peeling,peeling
stain,plain
algae,algae
algae,algae
peeling,peeling
spalling,spalling
stain,stain
major_crack,major_crack
peeling,peeling
stain,stain
minor_crack,minor_crack
peeling,peeling
major_crack,major_crack
spalling,spalling
minor_crack,minor_crack
major_crack,major_crack
stain,stain
spalling,spalling
algae,algae
algae,algae
major_crack,major_crack
major_crack,major_crack
minor_crack,minor_crack
minor_crack,minor_crack
plain,plain
algae,major_crack
spalling,spalling
peeling,stain
minor_crack,minor_crack
minor_crack,minor_crack
minor_crack,minor_crack
peeling,peeling
peeling,peeling
stain,minor_crack
stain,stain
major_crack,major_crack
plain,plain
minor_crack,minor_crack
plain,plain
stain,stain
peeling,peeling
plain,plain
algae,algae
minor_crack,major_crack
algae,algae
minor_crack,minor_crack
minor_crack,minor_crack
peeling,peeling
algae,stain
spalling,major_crack
plain,plain
plain,plain
algae,stain
minor_crack,major_crack
minor_crack,minor_crack
major_crack,major_crack
peeling,peeling
major_crack,major_crack
spalling,spalling
stain,stain
stain,plain
major_crack,major_crack
stain,stain
plain,plain
spalling,spalling
algae,algae
plain,plain
algae,minor_crack
algae,stain
peeling,peeling
spalling,spalling
stain,stain
spalling,spalling
spalling,spalling
spalling,spalling
peeling,minor_crack
minor_crack,major_crack
peeling,peeling
plain,plain
major_crack,minor_crack
peeling,major_crack
major_crack,major_crack
peeling,peeling
algae,algae
minor_crack,minor_crack
peeling,algae
algae,plain
algae,algae
plain,plain
minor_crack,major_crack
plain,plain
major_crack,major_crack
algae,spalling
stain,stain
plain,plain
spalling,spalling
stain,stain
minor_crack,minor_crack
stain,stain
peeling,stain
peeling,minor_crack
plain,plain
peeling,peeling
minor_crack,minor_crack
spalling,spalling
minor_crack,minor_crack
stain,stain
minor_crack,minor_crack
stain,stain
stain,stain
plain,plain
peeling,peeling
stain,stain
plain,plain
minor_crack,minor_crack
minor_crack,minor_crack
plain,plain
stain,plain
plain,plain
spalling,stain
major_crack,major_crack
spalling,spalling
stain,stain
major_crack,major_crack
algae,algae
stain,stain
major_crack,major_crack
minor_crack,minor_crack
algae,algae
peeling,peeling
minor_crack,minor_crack
algae,algae
minor_crack,minor_crack
major_crack,major_crack
minor_crack,minor_crack
plain,plain
peeling,peeling
plain,plain
stain,stain
algae,algae
major_crack,plain
spalling,spalling
plain,plain
plain,plain
spalling,spalling
plain,plain
peeling,peeling
algae,algae
peeling,peeling
major_crack,major_crack
plain,plain
algae,algae
spalling,spalling
plain,plain
stain,stain
spalling,peeling
spalling,spalling
peeling,peeling
plain,plain
minor_crack,stain
plain,plain
algae,algae
plain,plain
spalling,spalling
stain,stain
algae,algae
major_crack,major_crack
stain,stain
stain,plain
plain,plain
major_crack,major_crack
spalling,spalling
peeling,peeling
minor_crack,minor_crack
peeling,peeling
algae,stain
major_crack,major_crack
plain,plain
algae,spalling
peeling,peeling
plain,plain
algae,algae
plain,plain
spalling,spalling
plain,plain
minor_crack,minor_crack
minor_crack,major_crack
algae,algae
peeling,peeling
minor_crack,minor_crack
algae,algae
minor_crack,minor_crack
algae,algae
major_crack,major_crack
spalling,spalling
algae,algae
plain,plain
peeling,major_crack
plain,plain
stain,stain
plain,plain
major_crack,major_crack
major_crack,major_crack
plain,plain
major_crack,major_crack
stain,stain
peeling,peeling
peeling,peeling
plain,plain
minor_crack,minor_crack
spalling,minor_crack
minor_crack,minor_crack
peeling,peeling
minor_crack,minor_crack
algae,algae
minor_crack,minor_crack
minor_crack,minor_crack
spalling,spalling
peeling,peeling
peeling,peeling
plain,plain
spalling,spalling
stain,stain
peeling,peeling
algae,algae
spalling,spalling
minor_crack,minor_crack
plain,plain
peeling,peeling
plain,plain
major_crack,major_crack
major_crack,major_crack
spalling,spalling
stain,stain
algae,algae
spalling,spalling
algae,algae
peeling,stain
algae,algae
major_crack,spalling
algae,algae
minor_crack,minor_crack
stain,stain
stain,stain
spalling,stain
stain,stain
spalling,spalling
stain,peeling
minor_crack,minor_crack
peeling,peeling
plain,plain
plain,plain
plain,plain
peeling,peeling
peeling,peeling
peeling,peeling
spalling,spalling
major_crack,major_crack
algae,algae
minor_crack,minor_crack
spalling,spalling
algae,algae
