actual,predicted
major_crack,major_crack
stain,stain
major_crack,major_crack
minor_crack,minor_crack
peeling,algae
plain,plain
plain,plain
spalling,major_crack
minor_crack,minor_crack
plain,plain
spalling,stain
major_crack,major_crack
spalling,plain
peeling,peeling
plain,plain
algae,algae
spalling,spalling
algae,algae
spalling,spalling
minor_crack,minor_crack
major_crack,major_crack
stain,plain
spalling,spalling
spalling,spalling
major_crack,major_crack
stain,stain
spalling,stain
peeling,peeling
minor_crack,major_crack
stain,stain
plain,plain
minor_crack,minor_crack
stain,stain
minor_crack,minor_crack
spalling,spalling
minor_crack,minor_crack
algae,algae
major_crack,plain
plain,plain
peeling,peeling
stain,peeling
major_crack,major_crack
minor_crack,peeling
major_crack,minor_crack
plain,plain
major_crack,peeling
stain,stain
minor_crack,minor_crack
minor_crack,plain
stain,stain
peeling,peeling
plain,plain
algae,algae
minor_crack,minor_crack
spalling,spalling
minor_crack,minor_crack
algae,plain
stain,stain
plain,plain
minor_crack,minor_crack
minor_crack,minor_crack
plain,plain
major_crack,major_crack
major_crack,major_crack
plain,plain
algae,algae
minor_crack,minor_crack
plain,plain
algae,algae
plain,plain
major_crack,major_crack
plain,plain
minor_crack,minor_crack
algae,algae
minor_crack,minor_crack
stain,stain
algae,algae
algae,algae
peeling,peeling
plain,plain
minor_crack,minor_crack
peeling,peeling
major_crack,peeling
minor_crack,major_crack
minor_crack,minor_crack
minor_crack,stain
minor_crack,minor_crack
minor_crack,major_crack
major_crack,major_crack
algae,algae
plain,plain
stain,peeling
peeling,peeling
plain,plain
algae,algae
spalling,peeling
stain,stain
major_crack,major_crack
major_crack,spalling
peeling,spalling
algae,algae
plain,plain
minor_crack,stain
algae,major_crack
peeling,peeling
algae,algae
algae,algae
major_crack,minor_crack
spalling,spalling
major_crack,major_crack
peeling,peeling
plain,plain
peeling,peeling
stain,stain
peeling,peeling
stain,plain
peeling,peeling
spalling,spalling
major_crack,major_crack
minor_crack,minor_crack
spalling,spalling
minor_crack,minor_crack
spalling,major_crack
spalling,spalling
stain,stain
stain,stain
plain,plain
peeling,peeling
plain,plain
peeling,peeling
spalling,spalling
spalling,peeling
plain,plain
plain,plain
major_crack,major_crack
peeling,peeling
plain,plain
minor_crack,minor_crack
spalling,spalling
stain,stain
stain,stain
minor_crack,minor_crack
major_crack,major_crack
minor_crack,minor_crack
peeling,peeling
major_crack,major_crack
minor_crack,minor_crack
plain,plain
peeling,peeling
plain,plain
spalling,peeling
plain,plain
spalling,spalling
plain,plain
algae,algae
plain,plain
minor_crack,plain
stain,stain
major_crack,minor_crack
spalling,spalling
spalling,spalling
peeling,peeling
plain,plain
stain,stain
minor_crack,minor_crack
minor_crack,minor_crack
major_crack,major_crack
spalling,spalling
stain,stain
plain,plain
major_crack,major_crack
minor_crack,minor_crack
major_crack,minor_crack
minor_crack,minor_crack
spalling,spalling
minor_crack,major_crack
minor_crack,minor_crack
stain,stain
minor_crack,minor_crack
algae,algae
major_crack,major_crack
minor_crack,minor_crack
minor_crack,minor_crack
stain,stain
minor_crack,minor_crack
minor_crack,peeling
peeling,peeling
plain,plain
stain,stain
algae,spalling
minor_crack,major_crack
major_crack,major_crack
algae,algae
algae,algae
major_crack,major_crack
plain,plain
stain,plain
peeling,stain
spalling,spalling
minor_crack,minor_crack
algae,algae
peeling,peeling
minor_crack,minor_crack
minor_crack,minor_crack
plain,plain
algae,algae
plain,plain
algae,algae
peeling,peeling
major_crack,major_crack
minor_crack,minor_crack
algae,algae
plain,plain
minor_crack,major_crack
stain,stain
stain,peeling
stain,stain
plain,plain
minor_crack,minor_crack
algae,algae
minor_crack,minor_crack
spalling,spalling
major_crack,major_crack
major_crack,major_crack
spalling,spalling
algae,algae
stain,stain
spalling,plain
major_crack,major_crack
algae,algae
minor_crack,major_crack
major_crack,major_crack
plain,plain
peeling,major_crack
stain,stain
algae,algae
minor_crack,minor_crack
plain,plain
stain,spalling
major_crack,major_crack
minor_crack,minor_crack
stain,peeling
major_crack,major_crack
spalling,spalling
minor_crack,minor_crack
algae,algae
plain,plain
spalling,algae
algae,peeling
minor_crack,minor_crack
peeling,peeling
plain,stain
stain,stain
stain,stain
plain,plain
major_crack,major_crack
stain,minor_crack
plain,plain
