actual,predicted
major_crack,major_crack
stain,stain
major_crack,major_crack
algae,algae
spalling,spalling
peeling,peeling
algae,stain
algae,algae
plain,plain
major_crack,major_crack
algae,algae
minor_crack,minor_crack
spalling,spalling
plain,plain
minor_crack,minor_crack
peeling,peeling
plain,major_crack
plain,plain
spalling,spalling
plain,plain
algae,algae
minor_crack,minor_crack
spalling,spalling
major_crack,major_crack
peeling,peeling
major_crack,major_crack
plain,plain
peeling,peeling
plain,plain
stain,stain
plain,plain
peeling,peeling
algae,algae
peeling,peeling
peeling,spalling
algae,algae
plain,plain
minor_crack,minor_crack
minor_crack,minor_crack
stain,stain
minor_crack,minor_crack
algae,algae
major_crack,major_crack
plain,plain
spalling,spalling
spalling,spalling
peeling,peeling
major_crack,major_crack
major_crack,major_crack
major_crack,major_crack
plain,plain
minor_crack,minor_crack
peeling,peeling
algae,algae
peeling,peeling
plain,plain
spalling,spalling
minor_crack,minor_crack
major_crack,major_crack
minor_crack,minor_crack
spalling,spalling
minor_crack,minor_crack
stain,stain
algae,algae
algae,algae
algae,algae
major_crack,minor_crack
spalling,spalling
minor_crack,minor_crack
minor_crack,minor_crack
peeling,peeling
plain,plain
spalling,spalling
minor_crack,minor_crack
plain,plain
plain,plain
plain,plain
major_crack,major_crack
major_crack,minor_crack
stain,stain
major_crack,major_crack
plain,plain
peeling,peeling
minor_crack,minor_crack
minor_crack,minor_crack
spalling,spalling
algae,algae
minor_crack,minor_crack
stain,stain
minor_crack,minor_crack
spalling,spalling
minor_crack,minor_crack
peeling,peeling
minor_crack,minor_crack
spalling,spalling
spalling,spalling
plain,plain
stain,stain
major_crack,major_crack
algae,algae
plain,plain
major_crack,major_crack
minor_crack,minor_crack
major_crack,major_crack
plain,plain
peeling,peeling
plain,plain
minor_crack,minor_crack
minor_crack,minor_crack
algae,algae
algae,algae
plain,plain
plain,plain
minor_crack,minor_crack
spalling,spalling
major_crack,major_crack
minor_crack,major_crack
minor_crack,minor_crack
plain,plain
peeling,peeling
algae,algae
algae,algae
plain,plain
minor_crack,minor_crack
stain,stain
algae,algae
stain,stain
major_crack,major_crack
peeling,peeling
spalling,spalling
major_crack,major_crack
spalling,stain
plain,plain
plain,plain
algae,algae
major_crack,major_crack
peeling,peeling
major_crack,major_crack
algae,algae
major_crack,major_crack
algae,algae
major_crack,major_crack
minor_crack,minor_crack
peeling,peeling
minor_crack,minor_crack
major_crack,major_crack
stain,stain
plain,plain
plain,plain
minor_crack,major_crack
algae,algae
algae,algae
stain,stain
major_crack,minor_crack
minor_crack,minor_crack
plain,plain
plain,plain
spalling,spalling
algae,algae
minor_crack,minor_crack
peeling,peeling
algae,algae
peeling,peeling
peeling,stain
peeling,peeling
stain,stain
plain,plain
minor_crack,minor_crack
spalling,spalling
spalling,spalling
algae,algae
plain,plain
minor_crack,minor_crack
spalling,spalling
peeling,peeling
algae,algae
major_crack,major_crack
peeling,peeling
major_crack,major_crack
major_crack,major_crack
peeling,peeling
plain,plain
algae,algae
minor_crack,minor_crack
stain,stain
major_crack,major_crack
major_crack,major_crack
plain,plain
plain,plain
algae,algae
minor_crack,minor_crack
major_crack,minor_crack
algae,algae
peeling,peeling
plain,plain
plain,plain
stain,stain
plain,plain
plain,plain
minor_crack,minor_crack
plain,plain
plain,plain
stain,stain
major_crack,major_crack
major_crack,major_crack
peeling,peeling
algae,algae
spalling,spalling
algae,algae
spalling,spalling
plain,plain
minor_crack,minor_crack
stain,stain
plain,plain
peeling,peeling
spalling,spalling
stain,algae
algae,algae
stain,minor_crack
minor_crack,minor_crack
minor_crack,minor_crack
algae,stain
major_crack,major_crack
stain,stain
major_crack,major_crack
major_crack,major_crack
stain,stain
stain,stain
plain,plain
plain,plain
minor_crack,minor_crack
peeling,peeling
minor_crack,major_crack
peeling,spalling
major_crack,major_crack
stain,stain
plain,plain
plain,plain
peeling,peeling
plain,plain
algae,algae
minor_crack,minor_crack
spalling,spalling
peeling,peeling
plain,plain
plain,plain
minor_crack,minor_crack
peeling,peeling
minor_crack,minor_crack
algae,algae
plain,plain
minor_crack,minor_crack
peeling,peeling
algae,algae
minor_crack,minor_crack
plain,plain
peeling,peeling
stain,stain
algae,algae
minor_crack,minor_crack
algae,algae
